modelo,acc_train,prec_train,rec_train,f1_train,acc_test,prec_test,rec_test,f1_test,tn,fp,fn,tp,cm_path
lstm_w2v,0.624375,0.5908675799086758,0.80875,0.6828496042216359,0.5925,0.5677655677655677,0.775,0.6553911205073996,82,118,45,155,cm_lstm_w2v.npy
bilstm_w2v,0.49875,0.25,0.00125,0.0024875621890547263,0.5,0.0,0.0,0.0,200,0,200,0,cm_bilstm_w2v.npy
